customerid,loanno,Month,Loan Amount,EMI Amount,Interest Rate (%),Repayment Period (Months),Credit Score,Credit History (Years),Outstanding Balance Amount,Bank Statement,payment
Cus0001,Loan0002,January,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,February,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",0
Cus0001,Loan0002,March,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,April,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,May,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,June,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,July,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,August,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,September,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,October,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,November,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",1
Cus0001,Loan0002,December,273467.56,8976.77,4.23,59,828,18,23774.95,"Transactions: 14, Deposits: 12860.44, Withdrawals: 18432.57",0
Cus0001,Loan0001,January,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,February,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,March,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,April,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,May,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,June,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,July,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,August,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,September,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,October,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,November,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0001,December,269798.27,12214.13,9.73,57,766,18,113185.72,"Transactions: 15, Deposits: 63033.91, Withdrawals: 82848.74",1
Cus0001,Loan0005,January,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0001,Loan0005,February,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0001,Loan0005,March,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0001,Loan0005,April,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0001,Loan0005,May,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0001,Loan0005,June,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0001,Loan0005,July,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0001,Loan0005,August,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0001,Loan0005,September,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0001,Loan0005,October,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",0
Cus0001,Loan0005,November,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",0
Cus0001,Loan0005,December,201949.63,13640.73,11.38,33,671,5,43482.53,"Transactions: 25, Deposits: 40293.51, Withdrawals: 18347.13",1
Cus0002,Loan0002,January,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,February,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,March,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,April,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,May,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,June,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,July,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,August,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",0
Cus0002,Loan0002,September,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,October,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,November,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0002,December,381117.81,13649.9,11.76,46,631,13,30032.16,"Transactions: 10, Deposits: 84646.42, Withdrawals: 65666.78",1
Cus0002,Loan0006,January,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",1
Cus0002,Loan0006,February,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",1
Cus0002,Loan0006,March,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",0
Cus0002,Loan0006,April,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",1
Cus0002,Loan0006,May,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",0
Cus0002,Loan0006,June,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",1
Cus0002,Loan0006,July,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",1
Cus0002,Loan0006,August,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",0
Cus0002,Loan0006,September,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",1
Cus0002,Loan0006,October,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",1
Cus0002,Loan0006,November,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",1
Cus0002,Loan0006,December,458512.07,12041.47,11.45,14,769,8,354461.17,"Transactions: 3, Deposits: 86978.59, Withdrawals: 87983.53",1
Cus0002,Loan0009,January,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,February,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,March,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,April,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,May,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,June,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,July,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,August,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,September,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,October,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",0
Cus0002,Loan0009,November,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0002,Loan0009,December,314037.87,11173.87,13.01,22,694,12,65793.14,"Transactions: 9, Deposits: 73163.83, Withdrawals: 71519.29",1
Cus0003,Loan0002,January,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,February,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,March,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,April,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,May,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,June,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,July,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,August,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,September,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,October,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,November,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0002,December,249020.75,10656.19,14.87,52,776,18,54688.74,"Transactions: 11, Deposits: 85856.67, Withdrawals: 79839.99",1
Cus0003,Loan0003,January,268714.42,8224.7,6.79,29,616,7,245372.84,"Transactions: 19, Deposits: 88873.09, Withdrawals: 38321.01",1
